,Open,High,Low,Close,Volume,Dividends,Stock Splits,EMA_08,EMA_12,EMA_20,RSI_05,RSI_09,RSI_14
0,6.074205292821375,6.0861561023793005,5.844652019173027,5.886479377746582,370420000,0.0,0.0,6.083929002037925,6.0925290670871535,6.055522316046051,28.182809913788315,38.20623412090139,45.198105778725505
1,5.868304607574702,6.002999345921787,5.862080365805151,5.983579635620117,255564000,0.0,0.0,6.061629142833968,6.075767616092225,6.048670632195963,40.612862709905535,44.91147160454818,49.3974161443954
2,6.125494386941185,6.172052493795537,6.07545066673428,6.152881145477295,271544000,0.0,0.0,6.0819073656435965,6.087631235997621,6.058595442984661,56.87898410682739,54.57906803057216,55.76242288508731
3,6.27388248937086,6.284090493089392,6.159852591487118,6.243258953094482,208220000,0.0,0.0,6.117763273966015,6.11157396170483,6.076182443947501,63.5423190202098,58.909689798656345,58.7456196355961
4,6.277617091254257,6.330150127410889,6.196451688865812,6.330150127410889,218284000,0.0,0.0,6.16496035250932,6.145201064121147,6.100369842372586,69.25235000532685,62.75096663699206,61.43807097794394
5,6.290065266631888,6.312224078581957,6.238527579792124,6.263923168182373,189752000,0.0,0.0,6.186952089325554,6.163466003207489,6.115946349592566,60.26045922691757,58.09423812539754,58.31418047014223
6,6.28657961655309,6.548001549269967,6.281600033578879,6.547255039215088,529608000,0.0,0.0,6.267019411523228,6.222510470285581,6.1570233676518535,76.5460414252366,69.12266271005596,66.22614253281589
7,6.655559399128862,6.784527579126775,6.593564863567215,6.669750690460205,638556000,0.0,0.0,6.356515251287001,6.291316658004754,6.205854541252649,80.79858628966444,72.62652789878395,68.96840996555527
8,6.72253163991601,6.791995536604551,6.68369174952819,6.785521984100342,374644000,0.0,0.0,6.451850080801076,6.367348246634844,6.261060964381001,84.18597733740003,75.57365442364188,71.33712989420704
9,6.727512219812691,6.808926462251952,6.700124985704613,6.741703510284424,528016000,0.0,0.0,6.5162619540195985,6.424941364119395,6.306836444943232,77.70077052832146,72.26095907136667,69.18454725929787
10,7.152011236078267,7.343969741977096,7.120640718348887,7.215001583099365,1041924000,0.0,0.0,6.671537427148436,6.546489090116313,6.393328362862864,89.06949576879254,81.90124315124834,77.19062438389973
11,7.111677659246822,7.402230114435538,7.092257949839231,7.383805751800537,620164000,0.0,0.0,6.829819277071125,6.675307038067732,6.48765954276169,91.09378867847263,84.11614845804807,79.26023291666098
12,7.506300860949258,7.852871965438706,7.506300860949258,7.8351945877075195,694332000,0.0,0.0,7.053236012768101,6.8537512764738535,6.615996213708912,94.49904064485507,88.39028322529136,83.55673631645482
13,7.787143140061832,7.875528605812651,7.378328662777949,7.6858110427856445,810052000,0.0,0.0,7.193808241660888,6.981760471291052,6.717883340287648,81.59356216087555,80.3413893669356,77.8116994906154
14,7.573524178287163,7.5986704570959445,7.236662912101011,7.321562767028809,768180000,0.0,0.0,7.222198136187093,7.034037747558399,6.775376619024902,57.612508799722825,64.28379602776957,65.9115527135198
15,6.727014163556758,7.017815477764631,6.672489006182636,6.8039469718933105,856916000,0.0,0.0,7.129253433010697,6.998639166686846,6.77809760501237,37.85130946275457,48.71740861871607,53.41091580378923
16,6.8791376958533865,6.941132235018011,6.422520381405752,6.524350643157959,1055496000,0.0,0.0,6.994830590821199,6.925671701528556,6.753931227692902,30.733551472074915,42.46817970649313,48.103799485646434
17,6.524598322721968,6.85797395968799,6.523104827677286,6.663774490356445,747732000,0.0,0.0,6.921262568495699,6.8853798228866925,6.745344871756097,38.00071002690911,46.33033107156639,50.732719962043745
18,6.35012897349082,6.6515672796936745,6.200406475197816,6.292830944061279,906416000,0.004,0.0,6.781611096399161,6.794218456913552,6.7022483072137335,28.171267750842684,38.57871561684758,44.30250346814972
19,6.040221919287196,6.787589136196671,6.023530858757883,6.728048801422119,1133252000,0.0,0.0,6.769708364182041,6.78403850991487,6.704705497138342,47.92586335279037,49.68933527812981,51.99103441876854
20,6.898198840508735,6.915388345562744,6.5020942179934655,6.8864898681640625,890744000,0.0,0.0,6.7956598095113785,6.7998002573378225,6.722018294378887,53.71816980701306,53.15953267993411,54.4558585978187
21,6.942294069276471,7.002083388291559,6.5384665864174165,6.623915672302246,652792000,0.0,0.0,6.757494445687127,6.772741090409272,6.712675187514445,43.65833364729216,47.102314939330114,49.88495413601107
22,6.731286431328499,7.097247152116675,6.656549436564152,7.087780475616455,597408000,0.0,0.0,6.830891341226978,6.821208688133454,6.748399500667017,60.14148385524436,56.869481785656454,56.78587871079326
23,6.888233757672639,7.055145772386674,6.763672566846141,6.808265686035156,540328000,0.0,0.0,6.825863417851017,6.8192174570414075,6.7541010421306495,49.28173253307568,50.54304417762584,52.127802198307855
24,6.628648108712579,6.68619560165047,6.427357088938863,6.627651691436768,515412000,0.0,0.0,6.78181636753674,6.78974580079454,6.7420582468264705,43.00893778963687,46.76151335403558,49.312931946737436
25,5.976445976882009,6.462234819140225,5.9335971812222335,6.114459991455078,614160000,0.0,0.0,6.633514950629704,6.685855676280776,6.682286984410148,29.61888999514849,37.73648722564025,42.320162599605844
26,6.390984825704697,6.504086494445801,6.128161136295155,6.504086494445801,580648000,0.0,0.0,6.604753071477726,6.657891186767703,6.665315509175448,45.67105347697867,46.547909145679064,48.312885748850896
27,6.364080134859424,6.392480165708837,6.042961500646882,6.1401190757751465,499964000,0.0,0.0,6.501501072432708,6.578233938922694,6.615296801232562,36.066005513160164,40.521429712670205,43.74107408026853
